id,turn,positionX,positionY,point
1,BLACK,2,4,4vs1
2,WHITE,2,3,3vs3
3,BLACK,1,2,5vs2
4,WHITE,2,5,4vs4
5,BLACK,2,2,6vs3
6,WHITE,3,2,5vs5
7,BLACK,2,6,7vs4
8,WHITE,1,3,6vs6
9,BLACK,0,2,8vs5
10,WHITE,2,1,7vs7
11,BLACK,1,1,10vs5
12,WHITE,0,3,8vs8
13,BLACK,0,4,11vs6
14,WHITE,1,4,9vs9
15,BLACK,1,5,14vs5
16,WHITE,0,5,13vs7
17,BLACK,0,6,15vs6
18,WHITE,3,6,14vs8
19,BLACK,2,0,16vs7
20,WHITE,5,4,15vs9
21,BLACK,3,1,17vs8
22,WHITE,0,0,14vs12
23,BLACK,0,1,16vs11
24,WHITE,0,7,10vs18
25,BLACK,3,5,14vs15
26,WHITE,4,1,10vs20
27,BLACK,1,0,12vs19
28,WHITE,3,0,10vs22
29,BLACK,3,7,12vs21
30,WHITE,4,2,9vs25
31,BLACK,1,6,12vs23
32,WHITE,4,5,8vs28
33,BLACK,4,0,11vs26
34,WHITE,5,0,10vs28
35,BLACK,4,6,13vs26
36,WHITE,2,7,10vs30
37,BLACK,1,7,15vs26
38,WHITE,4,7,11vs31
39,BLACK,5,1,15vs28
40,WHITE,5,2,12vs32
41,BLACK,5,3,16vs29
42,WHITE,5,5,12vs34
43,BLACK,5,6,20vs27
44,WHITE,6,2,19vs29
45,BLACK,6,0,21vs28
46,WHITE,7,0,20vs30
47,BLACK,6,1,22vs29
48,WHITE,7,2,21vs31
49,BLACK,6,3,23vs30
50,WHITE,7,3,20vs34
51,BLACK,6,4,22vs33
52,WHITE,7,4,20vs36
53,BLACK,7,1,23vs34
54,WHITE,6,5,19vs39
55,BLACK,5,7,23vs36
56,WHITE,6,6,17vs43
57,BLACK,6,7,24vs37
58,WHITE,7,7,21vs41
59,BLACK,7,5,25vs38
60,WHITE,7,6,18vs46
